Step	Temp	E_pair	TotEng	Press	c_myMSD[4]	c_myVACF[4]
1000	165.09546	-85.486567	-67.06992	-96.793723	3.83E-02	3.1329003
1050	169.24614	-85.280704	-66.401042	-115.15744	8.70E-03	3.10515
1100	173.66666	-85.133672	-65.760894	-93.910019	0.032864015	2.9549543
1150	174.017	-84.972056	-65.560198	-41.452972	0.071181777	2.6703
1200	172.95881	-84.716139	-65.422324	32.632682	0.12312924	2.3025984
1250	172.25373	-84.39518	-65.180018	99.177536	0.18707185	1.8898222
1300	173.2594	-84.101657	-64.77431	126.13872	0.2605172	1.4670732
1350	175.61225	-83.86497	-64.275159	102.52399	0.34269315	1.0643109
1400	176.93751	-83.582889	-63.845243	48.804884	0.43457768	0.70399945
1450	176.24274	-83.210224	-63.550081	-7.0716952	0.53538565	0.39868276
1500	175.5471	-82.9035	-63.320956	-54.793155	0.64066516	0.15056729
1550	176.26846	-82.760633	-63.097621	-85.775358	0.74424978	-0.043812423
1600	177.51408	-82.638318	-62.836355	-81.339221	0.84180775	-0.19132235
1650	179.08829	-82.421826	-62.444257	-36.641885	0.93362252	-0.29934299
1700	181.07445	-82.141324	-61.942196	25.357841	1.0238773	-0.37081159
1750	182.07972	-81.949541	-61.638274	65.628103	1.1164964	-0.40721743
1800	181.03411	-81.88542	-61.690793	64.771407	1.2126661	-0.41506925
1850	175.9771	-81.788982	-62.158472	38.018092	1.3112815	-0.40108687
1900	169.76955	-81.670542	-62.732493	0.17428622	1.4096917	-0.37186888
1950	168.04176	-81.720974	-62.975662	-43.064233	1.5046617	-0.33652789
2000	170.70942	-81.887238	-62.844346	-73.114932	1.5929291	-0.30222989
