# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 0 0
6 1.1 0 0
7 1.3 0 0
8 1.5 0 0
9 1.7 0 0
10 1.9 0 0
11 2.1 0 0
12 2.3 0 0
13 2.5 0 0
14 2.7 0 0
15 2.9 0 0
16 3.1 0 0
17 3.3 0 0
18 3.5 0 0
19 3.7 0 0
20 3.9 0.108066 0.0532407
21 4.1 0.918306 0.553241
22 4.3 2.57422 2.09491
23 4.5 3.29285 4.25463
24 4.7 2.88596 6.31944
25 4.9 2.11048 7.96065
26 5.1 1.56352 9.27778
27 5.3 1.12208 10.2986
28 5.5 0.763162 11.0463
29 5.7 0.631357 11.7106
30 5.9 0.513312 12.2894
31 6.1 0.43987 12.8194
32 6.3 0.452005 13.4005
33 6.5 0.529506 14.125
34 6.7 0.563649 14.9444
35 6.9 0.582493 15.8426
36 7.1 0.639468 16.8866
37 7.3 0.748426 18.1782
38 7.5 0.926332 19.8657
39 7.7 1.12115 22.0185
40 7.9 1.419 24.8866
41 8.1 1.49904 28.0718
42 8.3 1.43182 31.2662
43 8.5 1.31874 34.3519
44 8.7 1.27014 37.4653
45 8.9 1.19204 40.5231
46 9.1 1.07462 43.4051
47 9.3 1.01155 46.2384
48 9.5 0.932974 48.9653
49 9.7 0.895658 51.6944
50 9.9 0.878069 54.4815
1100 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 0 0
6 1.1 0 0
7 1.3 0 0
8 1.5 0 0
9 1.7 0 0
10 1.9 0 0
11 2.1 0 0
12 2.3 0 0
13 2.5 0 0
14 2.7 0 0
15 2.9 0 0
16 3.1 0 0
17 3.3 0 0
18 3.5 0 0
19 3.7 0 0
20 3.9 0.108101 0.0532407
21 4.1 0.952624 0.571759
22 4.3 2.52092 2.08102
23 4.5 3.23037 4.19907
24 4.7 3.04548 6.37731
25 4.9 2.08436 7.99769
26 5.1 1.47881 9.24306
27 5.3 1.09699 10.2407
28 5.5 0.836676 11.0602
29 5.7 0.609555 11.7014
30 5.9 0.548395 12.3194
31 6.1 0.434248 12.8426
32 6.3 0.475569 13.4537
33 6.5 0.502601 14.1412
34 6.7 0.555867 14.9491
35 6.9 0.582681 15.8472
36 7.1 0.618399 16.8565
37 7.3 0.717808 18.0949
38 7.5 0.943155 19.8125
39 7.7 1.14925 22.0185
40 7.9 1.408 24.8634
41 8.1 1.51587 28.0833
42 8.3 1.43851 31.2917
43 8.5 1.34886 34.4468
44 8.7 1.24316 37.4931
45 8.9 1.13646 40.4074
46 9.1 1.10951 43.3819
47 9.3 1.07057 46.3796
48 9.5 0.859595 48.8912
49 9.7 0.899747 51.6319
50 9.9 0.863032 54.3704
1200 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
