Step	Time	Atoms	Temp	PotEng	KinEng	TotEng	Density
0	0	25501	1500	-85355.613	4944.2005	-80411.413	2.659387
5000	5	25501	765.87889	-82982.876	2524.4392	-80458.436	2.5929546
10000	10	25501	768.47767	-82603.789	2533.0051	-80070.784	2.5358912
15000	15	25501	767.43075	-82907.916	2529.5544	-80378.361	2.5769144
20000	20	25501	766.87902	-83009.997	2527.7358	-80482.261	2.6434662
25000	25	25501	770.70004	-83011.829	2540.3304	-80471.499	2.608245
30000	30	25501	771.65579	-82664.022	2543.4806	-80120.542	2.544591
35000	35	25501	765.78367	-82814.428	2524.1254	-80290.302	2.569155
40000	40	25501	769.06539	-82999.97	2534.9424	-80465.028	2.63113
45000	45	25501	774.856	-82982.026	2554.029	-80427.997	2.6194141
50000	50	25501	768.34274	-82755.268	2532.5604	-80222.708	2.554691
55000	55	25501	768.33222	-82748.145	2532.5257	-80215.62	2.5573295
60000	60	25501	768.75322	-82995.13	2533.9134	-80461.217	2.6133846
65000	65	25501	772.81871	-82957.373	2547.3138	-80410.06	2.6286294
70000	70	25501	765.02544	-82843.605	2521.6261	-80321.979	2.5697757
75000	75	25501	768.15699	-82693.654	2531.9481	-80161.706	2.546891
80000	80	25501	767.19111	-82962.498	2528.7645	-80433.734	2.6000509
85000	85	25501	765.15976	-82964.545	2522.0689	-80442.476	2.6327166
90000	90	25501	763.03461	-82922.622	2515.0641	-80407.558	2.5853579
95000	95	25501	773.52749	-82692.565	2549.65	-80142.915	2.5504424
100000	100	25501	776.97221	-82936.848	2561.0043	-80375.844	2.5823591
105000	105	25501	769.30829	-82970.238	2535.743	-80434.495	2.6333807
110000	110	25501	766.02636	-82970.72	2524.9253	-80445.795	2.6012413
115000	115	25501	766.44623	-82711.444	2526.3093	-80185.135	2.5514571
120000	120	25501	770.10661	-82846.727	2538.3744	-80308.353	2.567348
125000	125	25501	772.77064	-82973.077	2547.1554	-80425.922	2.6286063
130000	130	25501	772.35761	-83001.707	2545.794	-80455.914	2.61573
135000	135	25501	769.17008	-82764.443	2535.2874	-80229.156	2.5575989
140000	140	25501	765.0852	-82782.292	2521.8231	-80260.469	2.5618064
145000	145	25501	771.33514	-82986.363	2542.4237	-80443.94	2.6192546
150000	150	25501	764.55939	-82977.127	2520.09	-80457.037	2.626181
155000	155	25501	767.64307	-82827.751	2530.2542	-80297.496	2.5662081
160000	160	25501	761.15259	-82734.306	2508.8607	-80225.446	2.551578
165000	165	25501	772.6981	-82977.388	2546.9163	-80430.472	2.6085836
170000	170	25501	765.73599	-83011.538	2523.9682	-80487.57	2.6313953
175000	175	25501	769.29571	-82851.448	2535.7015	-80315.747	2.5798151
180000	180	25501	765.62003	-82696.251	2523.586	-80172.665	2.547349
185000	185	25501	772.49831	-82946.992	2546.2577	-80400.734	2.6005575
190000	190	25501	772.18507	-83003.738	2545.2252	-80458.513	2.6341855
195000	195	25501	771.06393	-82913.73	2541.5298	-80372.2	2.5893685
200000	200	25501	765.20641	-82709.164	2522.2226	-80186.941	2.5500732
205000	205	25501	769.82225	-82910.036	2537.437	-80372.599	2.5887143
210000	210	25501	765.71773	-82987.698	2523.908	-80463.79	2.6325859
215000	215	25501	768.55236	-82949.904	2533.2513	-80416.653	2.5989342
220000	220	25501	761.71717	-82750.042	2510.7216	-80239.32	2.5528339
225000	225	25501	771.35731	-82873.582	2542.4968	-80331.085	2.5753916
230000	230	25501	766.05829	-82987.66	2525.0305	-80462.63	2.6292099
235000	235	25501	761.40936	-82994.719	2509.707	-80485.012	2.6096039
240000	240	25501	768.28589	-82741.92	2532.373	-80209.547	2.559483
245000	245	25501	771.46379	-82831.901	2542.8478	-80289.053	2.5669398
250000	250	25501	770.56912	-82994.65	2539.8988	-80454.751	2.615103
255000	255	25501	767.89911	-82977.795	2531.0981	-80446.696	2.6182849
260000	260	25501	765.75566	-82818.103	2524.033	-80294.07	2.5659645
265000	265	25501	763.77752	-82775.167	2517.5128	-80257.655	2.5614664
270000	270	25501	767.85204	-82979.612	2530.943	-80448.669	2.6096316
275000	275	25501	772.01914	-82967.768	2544.6783	-80423.089	2.6268355
280000	280	25501	764.05258	-82849.614	2518.4194	-80331.195	2.576119
285000	285	25501	765.95342	-82765.427	2524.6849	-80240.742	2.5526795
290000	290	25501	764.23839	-82941.375	2519.0319	-80422.343	2.5948205
295000	295	25501	774.21923	-82965.353	2551.9301	-80413.422	2.627341
300000	300	25501	768.94541	-82896.258	2534.5469	-80361.711	2.5848914
305000	305	25501	763.01919	-82747.395	2515.0133	-80232.382	2.5567863
310000	310	25501	776.33695	-82912.262	2558.9104	-80353.351	2.5878078
315000	315	25501	768.10284	-82967.78	2531.7697	-80436.01	2.6280121
320000	320	25501	767.42274	-82976.078	2529.528	-80446.55	2.5984353
325000	325	25501	759.58909	-82745.943	2503.7072	-80242.236	2.563091
330000	330	25501	772.8976	-82861.606	2547.5738	-80314.032	2.5742131
335000	335	25501	764.12645	-82984.747	2518.6629	-80466.084	2.6217722
340000	340	25501	766.89945	-82947.744	2527.8031	-80419.941	2.6059461
345000	345	25501	764.70584	-82775.037	2520.5727	-80254.464	2.5639835
350000	350	25501	771.58884	-82834.159	2543.26	-80290.899	2.5679781
355000	355	25501	770.05976	-82954.69	2538.2199	-80416.47	2.6154094
360000	360	25501	772.72173	-82964.153	2546.9941	-80417.159	2.617107
365000	365	25501	767.01367	-82833.051	2528.1796	-80304.871	2.5692043
370000	370	25501	767.14994	-82806.997	2528.6288	-80278.368	2.5650757
375000	375	25501	772.9378	-82966.667	2547.7063	-80418.961	2.6093471
380000	380	25501	768.47523	-82967.788	2532.9971	-80434.791	2.6200618
385000	385	25501	770.98692	-82866.256	2541.276	-80324.98	2.5767704
390000	390	25501	770.01072	-82767.717	2538.0583	-80229.659	2.5598845
395000	395	25501	767.52998	-82956.758	2529.8814	-80426.877	2.599581
400000	400	25501	765.52822	-82966.748	2523.2834	-80443.465	2.6198101
405000	405	25501	767.8941	-82906.042	2531.0816	-80374.96	2.5869336
410000	410	25501	769.34089	-82775.466	2535.8504	-80239.615	2.5618662
415000	415	25501	770.5968	-82943.221	2539.9901	-80403.231	2.5905359
420000	420	25501	772.77359	-82965.23	2547.1651	-80418.064	2.622073
425000	425	25501	763.93976	-82917.164	2518.0476	-80399.116	2.5938131
430000	430	25501	766.79391	-82789.824	2527.4552	-80262.369	2.5608991
435000	435	25501	765.13103	-82897.396	2521.9742	-80375.422	2.5856419
440000	440	25501	771.17076	-82961.627	2541.8819	-80419.745	2.6211113
445000	445	25501	760.70627	-82947.41	2507.3896	-80440.021	2.5977142
450000	450	25501	765.9625	-82784.257	2524.7148	-80259.542	2.5635035
455000	455	25501	768.23127	-82862.564	2532.193	-80330.371	2.5759789
460000	460	25501	765.7218	-82974.211	2523.9214	-80450.29	2.6132907
465000	465	25501	760.82971	-82977.062	2507.7964	-80469.265	2.6091111
470000	470	25501	771.10236	-82831.163	2541.6565	-80289.506	2.5698391
475000	475	25501	769.48441	-82839.977	2536.3235	-80303.654	2.5708487
480000	480	25501	771.08204	-82943.9	2541.5895	-80402.31	2.6071264
485000	485	25501	771.59187	-82986.091	2543.27	-80442.822	2.6157623
490000	490	25501	770.81895	-82845.058	2540.7223	-80304.336	2.5736113
495000	495	25501	767.73426	-82820.111	2530.5548	-80289.557	2.5692172
500000	500	25501	771.68001	-82973.059	2543.5605	-80429.498	2.6017888
505000	505	25501	777.11013	-82976.618	2561.4589	-80415.159	2.6183795
510000	510	25501	773.75604	-82878.038	2550.4034	-80327.635	2.5845147
515000	515	25501	771.83504	-82801.646	2544.0715	-80257.575	2.5620537
