Step	Time	Atoms	Temp	PotEng	KinEng	TotEng	Density
0	0	14364	1700	-48014.424	3156.1579	-44858.266	2.6548219
5000	5	14364	883.71686	-46430.696	1640.6764	-44790.02	2.5553418
10000	10	14364	883.87085	-46361.962	1640.9623	-44721	2.5350727
15000	15	14364	879.65457	-46508.158	1633.1345	-44875.024	2.6272715
20000	20	14364	884.10496	-46485.509	1641.397	-44844.112	2.5792105
25000	25	14364	877.88868	-46309.955	1629.856	-44680.099	2.5243214
30000	30	14364	877.81969	-46518.018	1629.728	-44888.29	2.604976
35000	35	14364	878.8124	-46531.101	1631.571	-44899.53	2.5978372
40000	40	14364	885.95518	-46296.804	1644.832	-44651.972	2.5255744
45000	45	14364	878.713	-46480.248	1631.3865	-44848.861	2.5830703
50000	50	14364	880.30195	-46501.772	1634.3364	-44867.436	2.614879
55000	55	14364	873.13078	-46313.706	1621.0227	-44692.684	2.526137
60000	60	14364	881.51452	-46440.98	1636.5877	-44804.392	2.561843
65000	65	14364	889.23721	-46529.711	1650.9253	-44878.785	2.6208375
70000	70	14364	877.37612	-46385.468	1628.9044	-44756.563	2.5360597
75000	75	14364	883.50623	-46370.736	1640.2854	-44730.451	2.5452123
80000	80	14364	879.81161	-46503.584	1633.4261	-44870.158	2.6221452
85000	85	14364	884.19099	-46445.303	1641.5567	-44803.746	2.5613868
90000	90	14364	876.5434	-46340.121	1627.3584	-44712.763	2.5323235
95000	95	14364	874.418	-46511.188	1623.4125	-44887.776	2.6093981
100000	100	14364	884.15666	-46489.407	1641.4929	-44847.914	2.5810143
105000	105	14364	884.44273	-46326.241	1642.0241	-44684.217	2.5279154
110000	110	14364	882.45145	-46502.055	1638.3271	-44863.728	2.6000937
115000	115	14364	885.98046	-46502.452	1644.879	-44857.573	2.5981666
120000	120	14364	877.65582	-46320.645	1629.4237	-44691.222	2.5335583
125000	125	14364	879.24524	-46474.251	1632.3746	-44841.876	2.5793373
130000	130	14364	878.651	-46520.834	1631.2713	-44889.563	2.6143985
135000	135	14364	878.51088	-46363.735	1631.0112	-44732.724	2.5422972
140000	140	14364	880.40491	-46453.678	1634.5276	-44819.151	2.5639466
145000	145	14364	879.66882	-46499.672	1633.161	-44866.511	2.6134009
150000	150	14364	880.64956	-46399.189	1634.9818	-44764.208	2.5507483
155000	155	14364	888.61265	-46404.294	1649.7658	-44754.528	2.5515348
160000	160	14364	881.21384	-46516.821	1636.0294	-44880.792	2.6105587
165000	165	14364	874.25627	-46444.132	1623.1122	-44821.02	2.5654547
170000	170	14364	874.49635	-46373.268	1623.558	-44749.71	2.5423953
175000	175	14364	881.647	-46522.695	1636.8336	-44885.861	2.6080488
180000	180	14364	871.47862	-46482.877	1617.9554	-44864.921	2.5802996
185000	185	14364	874.20551	-46367.414	1623.018	-44744.396	2.5402434
190000	190	14364	879.08452	-46520.961	1632.0762	-44888.884	2.5914051
195000	195	14364	884.4519	-46502.422	1642.0411	-44860.381	2.5986688
200000	200	14364	866.18737	-46366.395	1608.1318	-44758.263	2.5386514
205000	205	14364	878.02064	-46482.48	1630.101	-44852.379	2.5806792
210000	210	14364	880.26066	-46525.899	1634.2598	-44891.639	2.6045348
215000	215	14364	874.50279	-46375.512	1623.5699	-44751.942	2.5437946
220000	220	14364	885.66311	-46449.94	1644.2898	-44805.65	2.5667549
225000	225	14364	886.36214	-46498.606	1645.5876	-44853.018	2.6040384
230000	230	14364	878.45792	-46405.837	1630.9129	-44774.924	2.5544185
235000	235	14364	893.23304	-46397.137	1658.3438	-44738.793	2.5563315
240000	240	14364	891.17328	-46501.529	1654.5197	-44847.009	2.6049113
245000	245	14364	885.51237	-46455.411	1644.0099	-44811.401	2.5674048
250000	250	14364	877.71492	-46373.78	1629.5335	-44744.246	2.5466475
255000	255	14364	885.94481	-46480.558	1644.8128	-44835.745	2.6009647
